state,ncsl_year,gov_dem
Alabama,2015,0
Alaska,2015,0
Arizona,2015,0
Arkansas,2015,0
California,2015,1
Colorado,2015,1
Connecticut,2015,1
Delaware,2015,1
Florida,2015,0
Georgia,2015,0
Hawaii,2015,1
Idaho,2015,0
Illinois,2015,0
Indiana,2015,0
Iowa,2015,0
Kansas,2015,0
Kentucky,2015,1
Louisiana,2015,0
Maine,2015,0
Maryland,2015,0
Massachusetts,2015,0
Michigan,2015,0
Minnesota,2015,1
Mississippi,2015,0
Missouri,2015,1
Montana,2015,1
Nevada,2015,0
New Hampshire,2015,1
New Jersey,2015,0
New Mexico,2015,0
New York,2015,1
North Carolina,2015,0
North Dakota,2015,0
Ohio,2015,0
Oklahoma,2015,0
Oregon,2015,1
Pennsylvania,2015,1
Rhode Island,2015,1
South Carolina,2015,0
South Dakota,2015,0
Tennessee,2015,0
Texas,2015,0
Utah,2015,0
Vermont,2015,1
Virginia,2015,1
Washington,2015,1
West Virginia,2015,1
Wisconsin,2015,0
Wyoming,2015,0
Alabama,2017,0
Alaska,2017,0
Arizona,2017,0
Arkansas,2017,0
California,2017,1
Colorado,2017,1
Connecticut,2017,1
Delaware,2017,1
Florida,2017,0
Georgia,2017,0
Hawaii,2017,1
Idaho,2017,0
Illinois,2017,0
Indiana,2017,0
Iowa,2017,0
Kansas,2017,0
Kentucky,2017,0
Louisiana,2017,1
Maine,2017,0
Maryland,2017,0
Massachusetts,2017,0
Michigan,2017,0
Minnesota,2017,1
Mississippi,2017,0
Missouri,2017,0
Montana,2017,1
Nevada,2017,0
New Hampshire,2017,0
New Jersey,2017,0
New Mexico,2017,0
New York,2017,1
North Carolina,2017,1
North Dakota,2017,0
Ohio,2017,0
Oklahoma,2017,0
Oregon,2017,1
Pennsylvania,2017,1
Rhode Island,2017,1
South Carolina,2017,0
South Dakota,2017,0
Tennessee,2017,0
Texas,2017,0
Utah,2017,0
Vermont,2017,0
Virginia,2017,1
Washington,2017,1
West Virginia,2017,1
Wisconsin,2017,0
Wyoming,2017,0
Alabama,2019,0
Alaska,2019,0
Arizona,2019,0
Arkansas,2019,0
California,2019,1
Colorado,2019,1
Connecticut,2019,1
Delaware,2019,1
Florida,2019,0
Georgia,2019,0
Hawaii,2019,1
Idaho,2019,0
Illinois,2019,1
Indiana,2019,0
Iowa,2019,0
Kansas,2019,1
Kentucky,2019,0
Louisiana,2019,1
Maine,2019,1
Maryland,2019,0
Massachusetts,2019,0
Michigan,2019,1
Minnesota,2019,1
Mississippi,2019,0
Missouri,2019,0
Montana,2019,1
Nevada,2019,1
New Hampshire,2019,0
New Jersey,2019,1
New Mexico,2019,1
New York,2019,1
North Carolina,2019,1
North Dakota,2019,0
Ohio,2019,0
Oklahoma,2019,0
Oregon,2019,1
Pennsylvania,2019,1
Rhode Island,2019,1
South Carolina,2019,0
South Dakota,2019,0
Tennessee,2019,0
Texas,2019,0
Utah,2019,0
Vermont,2019,0
Virginia,2019,1
Washington,2019,1
West Virginia,2019,0
Wisconsin,2019,1
Wyoming,2019,0
Alabama,2021,0
Alaska,2021,0
Arizona,2021,0
Arkansas,2021,0
California,2021,1
Colorado,2021,1
Connecticut,2021,1
Delaware,2021,1
Florida,2021,0
Georgia,2021,0
Hawaii,2021,1
Idaho,2021,0
Illinois,2021,1
Indiana,2021,0
Iowa,2021,0
Kansas,2021,1
Kentucky,2021,1
Louisiana,2021,1
Maine,2021,1
Maryland,2021,0
Massachusetts,2021,0
Michigan,2021,1
Minnesota,2021,1
Mississippi,2021,0
Missouri,2021,0
Montana,2021,0
Nevada,2021,1
New Hampshire,2021,0
New Jersey,2021,1
New Mexico,2021,1
New York,2021,1
North Carolina,2021,1
North Dakota,2021,0
Ohio,2021,0
Oklahoma,2021,0
Oregon,2021,1
Pennsylvania,2021,1
Rhode Island,2021,1
South Carolina,2021,0
South Dakota,2021,0
Tennessee,2021,0
Texas,2021,0
Utah,2021,0
Vermont,2021,0
Virginia,2021,1
Washington,2021,1
West Virginia,2021,0
Wisconsin,2021,1
Wyoming,2021,0
Alabama,2023,0
Alaska,2023,0
Arizona,2023,1
Arkansas,2023,0
California,2023,1
Colorado,2023,1
Connecticut,2023,1
Delaware,2023,1
Florida,2023,0
Georgia,2023,0
Hawaii,2023,1
Idaho,2023,0
Illinois,2023,1
Indiana,2023,0
Iowa,2023,0
Kansas,2023,1
Kentucky,2023,1
Louisiana,2023,1
Maine,2023,1
Maryland,2023,1
Massachusetts,2023,1
Michigan,2023,1
Minnesota,2023,1
Mississippi,2023,0
Missouri,2023,0
Montana,2023,0
Nevada,2023,0
New Hampshire,2023,0
New Jersey,2023,1
New Mexico,2023,1
New York,2023,1
North Carolina,2023,1
North Dakota,2023,0
Ohio,2023,0
Oklahoma,2023,0
Oregon,2023,1
Pennsylvania,2023,1
Rhode Island,2023,1
South Carolina,2023,0
South Dakota,2023,0
Tennessee,2023,0
Texas,2023,0
Utah,2023,0
Vermont,2023,0
Virginia,2023,0
Washington,2023,1
West Virginia,2023,0
Wisconsin,2023,1
Wyoming,2023,0
